run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
ERR527030	SAMEA2582002	ERX492233	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527030/ERR527030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527030/ERR527030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527030/HV25_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527030/HV25_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527030	HV25_Run6
ERR527036	SAMEA2582008	ERX492239	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527036/ERR527036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527036/ERR527036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527036/HV30_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527036/HV30_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527036	HV30_Run6
ERR527037	SAMEA2582009	ERX492240	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527037/ERR527037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527037/ERR527037_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527037/HV31_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527037/HV31_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527037	HV31_Run6
ERR527039	SAMEA2582011	ERX492242	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527039/ERR527039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527039/ERR527039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527039/HV4_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527039/HV4_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527039	HV4_Run4
ERR527042	SAMEA2582014	ERX492245	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527042/ERR527042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527042/ERR527042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527042/HV7_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527042/HV7_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527042	HV7_Run4
ERR527045	SAMEA2582017	ERX492248	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527045/ERR527045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527045/ERR527045_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527045/HV9_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527045/HV9_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527045	HV9_Run1
ERR527046	SAMEA2581876	ERX492249	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527046/ERR527046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527046/ERR527046_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527046/HD-10_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527046/HD-10_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527046	HD-10_Run1
ERR527054	SAMEA2581884	ERX492257	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527054/ERR527054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527054/ERR527054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527054/HD-16_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527054/HD-16_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527054	HD-16_Run1
ERR527055	SAMEA2581885	ERX492258	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527055/ERR527055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527055/ERR527055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527055/HD-16_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527055/HD-16_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527055	HD-16_Run5
ERR527058	SAMEA2581888	ERX492261	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527058/ERR527058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527058/ERR527058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527058/HD-18_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527058/HD-18_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527058	HD-18_Run1
ERR527061	SAMEA2581891	ERX492264	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527061/ERR527061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527061/ERR527061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527061/HD-19_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527061/HD-19_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527061	HD-19_Run4
ERR527062	SAMEA2581892	ERX492265	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527062/ERR527062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527062/ERR527062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527062/HD-2_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527062/HD-2_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527062	HD-2_Run4
ERR527063	SAMEA2581893	ERX492266	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527063/ERR527063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527063/ERR527063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527063/HD-20_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527063/HD-20_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527063	HD-20_Run1
ERR527065	SAMEA2581895	ERX492268	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527065/ERR527065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527065/ERR527065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527065/HD-22_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527065/HD-22_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527065	HD-22_Run1
ERR527071	SAMEA2581901	ERX492274	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527071/ERR527071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527071/ERR527071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527071/HD-27_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527071/HD-27_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527071	HD-27_Run1
ERR527081	SAMEA2581911	ERX492284	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527081/ERR527081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527081/ERR527081_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527081/HD-35_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527081/HD-35_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527081	HD-35_Run1
ERR527092	SAMEA2581922	ERX492295	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527092/ERR527092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527092/ERR527092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527092/HD-43_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527092/HD-43_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527092	HD-43_Run3
ERR527095	SAMEA2581925	ERX492298	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527095/ERR527095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527095/ERR527095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527095/HD-44_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527095/HD-44_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527095	HD-44_Run5
ERR527097	SAMEA2581927	ERX492300	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527097/ERR527097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527097/ERR527097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527097/HD-45_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527097/HD-45_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527097	HD-45_Run5
ERR527098	SAMEA2581928	ERX492301	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527098/ERR527098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527098/ERR527098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527098/HD-46_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527098/HD-46_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527098	HD-46_Run3
ERR527101	SAMEA2581931	ERX492304	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527101/ERR527101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527101/ERR527101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527101/HD-48_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527101/HD-48_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527101	HD-48_Run3
ERR527103	SAMEA2581933	ERX492306	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527103/ERR527103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527103/ERR527103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527103/HD-49_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527103/HD-49_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527103	HD-49_Run5
ERR527105	SAMEA2581935	ERX492308	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527105/ERR527105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527105/ERR527105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527105/HD-50_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527105/HD-50_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527105	HD-50_Run5
ERR526291	SAMEA2581875	ERX491494	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/ERR526291/ERR526291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/ERR526291/ERR526291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR526291/HD-1_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR526291/HD-1_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR526/ERR526291	HD-1_Run4
ERR527107	SAMEA2581937	ERX492310	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527107/ERR527107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527107/ERR527107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527107/HD-52_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527107/HD-52_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527107	HD-52_Run3
ERR527015	SAMEA2581987	ERX492218	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527015/ERR527015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527015/ERR527015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527015/HV15_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527015/HV15_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527015	HV15_Run3
ERR527111	SAMEA2581941	ERX492314	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527111/ERR527111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527111/ERR527111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527111/HD-55_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527111/HD-55_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527111	HD-55_Run4
ERR527016	SAMEA2581988	ERX492219	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527016/ERR527016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527016/ERR527016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527016/HV15_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527016/HV15_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527016	HV15_Run5
ERR527017	SAMEA2581989	ERX492220	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527017/ERR527017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527017/ERR527017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527017/HV16_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527017/HV16_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527017	HV16_Run3
ERR527112	SAMEA2581942	ERX492315	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527112/ERR527112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527112/ERR527112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527112/HD-55_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527112/HD-55_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527112	HD-55_Run6
ERR527024	SAMEA2581996	ERX492227	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527024/ERR527024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527024/ERR527024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527024/HV20_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527024/HV20_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527024	HV20_Run5
ERR527026	SAMEA2581998	ERX492229	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527026/ERR527026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527026/ERR527026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527026/HV21_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527026/HV21_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527026	HV21_Run4
ERR527115	SAMEA2581945	ERX492318	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527115/ERR527115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527115/ERR527115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527115/HD-57_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527115/HD-57_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527115	HD-57_Run6
ERR527029	SAMEA2582001	ERX492232	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527029/ERR527029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527029/ERR527029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527029/HV24_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527029/HV24_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527029	HV24_Run4
ERR527117	SAMEA2581947	ERX492320	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527117/ERR527117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527117/ERR527117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527117/HD-59_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527117/HD-59_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527117	HD-59_Run4
ERR527119	SAMEA2581949	ERX492322	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527119/ERR527119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527119/ERR527119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527119/HD-6_Run1.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527119/HD-6_Run1.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527119	HD-6_Run1
ERR527122	SAMEA2581952	ERX492325	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527122/ERR527122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527122/ERR527122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527122/HD-61_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527122/HD-61_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527122	HD-61_Run5
ERR527125	SAMEA2581955	ERX492328	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527125/ERR527125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527125/ERR527125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527125/HD-64_Run5.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527125/HD-64_Run5.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527125	HD-64_Run5
ERR527032	SAMEA2582004	ERX492235	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527032/ERR527032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527032/ERR527032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527032/HV27_Run6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527032/HV27_Run6.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527032	HV27_Run6
